amps,cell,durs,expt,files,laser,laser_dur,laser_start,rep,spikes
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,204.999999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,205.466666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,206.333333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,208.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,208.966666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,209.333333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,209.666666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,210.033333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,210.333333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,212.299999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,212.799999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,213.166666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,215.466666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,216.333333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,216.666666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,217.466666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,218.833333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,221.166666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,221.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,221.966666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,225.666666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,226.133333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,226.466666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,226.999999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,227.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,227.833333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,229.133333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,229.466666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,229.966666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,230.333333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,230.833333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,231.299999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,233.466666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,234.999999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,235.299999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,235.833333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,236.299999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,236.666666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,238.333333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,238.666666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,240.299999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,241.333333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,243.133333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,243.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,245.299999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,246.966666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,248.466666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,249.166666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,249.499999999999
